00,PositiveResponse
01,ISOSAEReserved
02,ISOSAEReserved
03,ISOSAEReserved
04,ISOSAEReserved
05,ISOSAEReserved
06,ISOSAEReserved
07,ISOSAEReserved
08,ISOSAEReserved
09,ISOSAEReserved
10,GeneralReject
11,ServiceNotSupported
12,SubFunctionNotSupported
13,IncorrectMessageLengthOrInvalidFormat
14,ResponseTooLong
15,ISOSAEReserved
16,ISOSAEReserved
17,ISOSAEReserved
18,ISOSAEReserved
19,ISOSAEReserved
1A,ISOSAEReserved
1B,ISOSAEReserved
1C,ISOSAEReserved
1D,ISOSAEReserved
1E,ISOSAEReserved
1F,ISOSAEReserved
20,ISOSAEReserved
21,BusyRepeatRequest
22,ConditionsNotCorrect
23,ISOSAEReserved
24,RequestSequenceError
25,ISOSAEReserved
26,ISOSAEReserved
27,ISOSAEReserved
28,ISOSAEReserved
29,ISOSAEReserved
2A,ISOSAEReserved
2B,ISOSAEReserved
2C,ISOSAEReserved
2D,ISOSAEReserved
2E,ISOSAEReserved
2F,ISOSAEReserved
30,ISOSAEReserved
31,RequestOutOfRange
32,ISOSAEReserved
33,SecurityAccessDenied
34,ISOSAEReserved
35,InvalidKey
36,ExceedNumberOfAttempts
37,RequiredTimeDelayNotExpired
38,ReservedByExtendedDataLinkSecurityDocument
39,ReservedByExtendedDataLinkSecurityDocument
3A,ReservedByExtendedDataLinkSecurityDocument
3B,ReservedByExtendedDataLinkSecurityDocument
3C,ReservedByExtendedDataLinkSecurityDocument
3D,ReservedByExtendedDataLinkSecurityDocument
3E,ReservedByExtendedDataLinkSecurityDocument
3F,ReservedByExtendedDataLinkSecurityDocument
40,ReservedByExtendedDataLinkSecurityDocument
41,ReservedByExtendedDataLinkSecurityDocument
42,ReservedByExtendedDataLinkSecurityDocument
43,ReservedByExtendedDataLinkSecurityDocument
44,ReservedByExtendedDataLinkSecurityDocument
45,ReservedByExtendedDataLinkSecurityDocument
46,ReservedByExtendedDataLinkSecurityDocument
47,ReservedByExtendedDataLinkSecurityDocument
48,ReservedByExtendedDataLinkSecurityDocument
49,ReservedByExtendedDataLinkSecurityDocument
4A,ReservedByExtendedDataLinkSecurityDocument
4B,ReservedByExtendedDataLinkSecurityDocument
4C,ReservedByExtendedDataLinkSecurityDocument
4D,ReservedByExtendedDataLinkSecurityDocument
4E,ReservedByExtendedDataLinkSecurityDocument
4F,ReservedByExtendedDataLinkSecurityDocument
50,ISOSAEReserved
51,ISOSAEReserved
52,ISOSAEReserved
53,ISOSAEReserved
54,ISOSAEReserved
55,ISOSAEReserved
56,ISOSAEReserved
57,ISOSAEReserved
58,ISOSAEReserved
59,ISOSAEReserved
5A,ISOSAEReserved
5B,ISOSAEReserved
5C,ISOSAEReserved
5D,ISOSAEReserved
5E,ISOSAEReserved
5F,ISOSAEReserved
60,ISOSAEReserved
61,ISOSAEReserved
62,ISOSAEReserved
63,ISOSAEReserved
64,ISOSAEReserved
65,ISOSAEReserved
66,ISOSAEReserved
67,ISOSAEReserved
68,ISOSAEReserved
69,ISOSAEReserved
6A,ISOSAEReserved
6B,ISOSAEReserved
6C,ISOSAEReserved
6D,ISOSAEReserved
6E,ISOSAEReserved
6F,ISOSAEReserved
70,UploadDownloadNotAccepted
71,TransferDataSuspended
72,GeneralProgrammingFailure
73,WrongBlockSequenceCounter
74,ISOSAEReserved
75,ISOSAEReserved
76,ISOSAEReserved
77,ISOSAEReserved
78,RequestCorrectlyReceived-ResponsePending
79,ISOSAEReserved
7A,ISOSAEReserved
7B,ISOSAEReserved
7C,ISOSAEReserved
7D,ISOSAEReserved
7E,SubFunctionNotSupportedInActiveSession
7F,ServiceNotSupportedInActiveSession
81,RpmTooHigh
82,RpmTooLow
83,EngineIsRunning
84,EngineIsNotRunning
85,EngineRunTimeTooLow
86,TemperatureTooHigh
87,TemperatureTooLow
88,VehicleSpeedTooHigh
89,VehicleSpeedTooLow
8A,Throttle/PedalTooHigh
8B,Throttle/PedalTooLow
8C,TransmissionRangeNotInNeutral
8D,TransmissionRangeNotInGear
8F,BrakeSwitch(es)NotClosed (Brake Pedal not pressed or not applied)
90,ShifterLeverNotInPark 
91,TorqueConverterClutchLocked
92,VoltageTooHigh
93,VoltageTooLow
94,ReservedForSpecificConditionsNotCorrect
95,ReservedForSpecificConditionsNotCorrect
96,ReservedForSpecificConditionsNotCorrect
97,ReservedForSpecificConditionsNotCorrect
98,ReservedForSpecificConditionsNotCorrect
99,ReservedForSpecificConditionsNotCorrect
9A,ReservedForSpecificConditionsNotCorrect
9B,ReservedForSpecificConditionsNotCorrect
9C,ReservedForSpecificConditionsNotCorrect
9D,ReservedForSpecificConditionsNotCorrect
9E,ReservedForSpecificConditionsNotCorrect
9F,ReservedForSpecificConditionsNotCorrect
A0,ReservedForSpecificConditionsNotCorrect
A1,ReservedForSpecificConditionsNotCorrect
A2,ReservedForSpecificConditionsNotCorrect
A3,ReservedForSpecificConditionsNotCorrect
A4,ReservedForSpecificConditionsNotCorrect
A5,ReservedForSpecificConditionsNotCorrect
A6,ReservedForSpecificConditionsNotCorrect
A7,ReservedForSpecificConditionsNotCorrect
A8,ReservedForSpecificConditionsNotCorrect
A9,ReservedForSpecificConditionsNotCorrect
AA,ReservedForSpecificConditionsNotCorrect
AB,ReservedForSpecificConditionsNotCorrect
AC,ReservedForSpecificConditionsNotCorrect
AD,ReservedForSpecificConditionsNotCorrect
AE,ReservedForSpecificConditionsNotCorrect
AF,ReservedForSpecificConditionsNotCorrect
B0,ReservedForSpecificConditionsNotCorrect
B1,ReservedForSpecificConditionsNotCorrect
B2,ReservedForSpecificConditionsNotCorrect
B3,ReservedForSpecificConditionsNotCorrect
B4,ReservedForSpecificConditionsNotCorrect
B5,ReservedForSpecificConditionsNotCorrect
B6,ReservedForSpecificConditionsNotCorrect
B7,ReservedForSpecificConditionsNotCorrect
B8,ReservedForSpecificConditionsNotCorrect
B9,ReservedForSpecificConditionsNotCorrect
BA,ReservedForSpecificConditionsNotCorrect
BB,ReservedForSpecificConditionsNotCorrect
BC,ReservedForSpecificConditionsNotCorrect
BD,ReservedForSpecificConditionsNotCorrect
BE,ReservedForSpecificConditionsNotCorrect
BF,ReservedForSpecificConditionsNotCorrect
C0,ReservedForSpecificConditionsNotCorrect
C1,ReservedForSpecificConditionsNotCorrect
C2,ReservedForSpecificConditionsNotCorrect
C3,ReservedForSpecificConditionsNotCorrect
C4,ReservedForSpecificConditionsNotCorrect
C5,ReservedForSpecificConditionsNotCorrect
C6,ReservedForSpecificConditionsNotCorrect
C7,ReservedForSpecificConditionsNotCorrect
C8,ReservedForSpecificConditionsNotCorrect
C9,ReservedForSpecificConditionsNotCorrect
CA,ReservedForSpecificConditionsNotCorrect
CB,ReservedForSpecificConditionsNotCorrect
CC,ReservedForSpecificConditionsNotCorrect
CD,ReservedForSpecificConditionsNotCorrect
CE,ReservedForSpecificConditionsNotCorrect
CF,ReservedForSpecificConditionsNotCorrect
D0,ReservedForSpecificConditionsNotCorrect
D1,ReservedForSpecificConditionsNotCorrect
D2,ReservedForSpecificConditionsNotCorrect
D3,ReservedForSpecificConditionsNotCorrect
D4,ReservedForSpecificConditionsNotCorrect
D5,ReservedForSpecificConditionsNotCorrect
D6,ReservedForSpecificConditionsNotCorrect
D7,ReservedForSpecificConditionsNotCorrect
D8,ReservedForSpecificConditionsNotCorrect
D9,ReservedForSpecificConditionsNotCorrect
DA,ReservedForSpecificConditionsNotCorrect
DB,ReservedForSpecificConditionsNotCorrect
DC,ReservedForSpecificConditionsNotCorrect
DD,ReservedForSpecificConditionsNotCorrect
DE,ReservedForSpecificConditionsNotCorrect
DF,ReservedForSpecificConditionsNotCorrect
E0,ReservedForSpecificConditionsNotCorrect
E1,ReservedForSpecificConditionsNotCorrect
E2,ReservedForSpecificConditionsNotCorrect
E3,ReservedForSpecificConditionsNotCorrect
E4,ReservedForSpecificConditionsNotCorrect
E5,ReservedForSpecificConditionsNotCorrect
E6,ReservedForSpecificConditionsNotCorrect
E7,ReservedForSpecificConditionsNotCorrect
E8,ReservedForSpecificConditionsNotCorrect
E9,ReservedForSpecificConditionsNotCorrect
EA,ReservedForSpecificConditionsNotCorrect
EB,ReservedForSpecificConditionsNotCorrect
EC,ReservedForSpecificConditionsNotCorrect
ED,ReservedForSpecificConditionsNotCorrect
EE,ReservedForSpecificConditionsNotCorrect
EF,ReservedForSpecificConditionsNotCorrect
F0,ReservedForSpecificConditionsNotCorrect
F1,ReservedForSpecificConditionsNotCorrect
F2,ReservedForSpecificConditionsNotCorrect
F3,ReservedForSpecificConditionsNotCorrect
F4,ReservedForSpecificConditionsNotCorrect
F5,ReservedForSpecificConditionsNotCorrect
F6,ReservedForSpecificConditionsNotCorrect
F7,ReservedForSpecificConditionsNotCorrect
F8,ReservedForSpecificConditionsNotCorrect
F9,ReservedForSpecificConditionsNotCorrect
FA,ReservedForSpecificConditionsNotCorrect
FB,ReservedForSpecificConditionsNotCorrect
FC,ReservedForSpecificConditionsNotCorrect
FD,ReservedForSpecificConditionsNotCorrect
FE,ReservedForSpecificConditionsNotCorrect
FF,ISOSAEReserved